id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,array_area,available_solar_resource,generated_energy,cost
0,25.896492,-97.460358,Texas,large_community,5.634078503,39,5,0.235,90633.86277,21.27659574,6132,4782960
1,26.032654,-97.738098,Texas,small_utility,5.61641264,39,5,0.234,91307.48499,21.36752137,6132,4782960
2,26.059063,-97.208252,Texas,small_community,5.746738434,39,0.15,0.239,2621.097459,0.627615063,183.96,143488.8
3,26.078449,-98.073364,Texas,small_utility,5.742195606,39,5,0.239,87439.03633,20.92050209,6132,4782960
4,26.143227,-98.31134,Texas,small_utility,5.817186832,39,5,0.242,85241.85021,20.66115702,6132,4782960
5,26.14904,-98.075409,Texas,large_community,5.701752186,39,5,0.238,88429.25196,21.00840336,6132,4782960
6,26.180355,-97.367737,Texas,medium_utility,5.720003605,39,500,0.238,8814709.142,2100.840336,613200,478296000
7,26.254963,-98.078491,Texas,small_residential,5.730308056,39,0.005,0.239,87.62042901,0.020920502,6.132,4782.96
8,26.27216,-98.098694,Texas,large_utility,5.734212875,39,2000,0.239,35024304.9,8368.200837,2452800,1913184000
9,26.272625,-98.078979,Texas,small_community,5.755139828,39,0.15,0.24,2606.365866,0.625,183.96,143488.8
10,26.289829,-98.099182,Texas,small_utility,5.734212875,39,5,0.239,87560.76224,20.92050209,6132,4782960
11,26.290295,-98.079498,Texas,large_residential,5.755139828,39,0.015,0.24,260.6365866,0.0625,18.396,14348.88
12,26.300041,-97.606567,Texas,small_utility,5.6045928,39,5,0.234,91500.04846,21.36752137,6132,4782960
13,26.300404,-97.586884,Texas,medium_community,5.669364929,39,2,0.236,35875.24053,8.474576271,2452.8,1913184
14,26.300758,-97.567169,Texas,medium_community,5.669364929,39,2,0.236,35875.24053,8.474576271,2452.8,1913184
15,26.306557,-98.13913,Texas,large_utility,5.736873627,39,2000,0.239,35008060.69,8368.200837,2452800,1913184000
16,26.30703,-98.119415,Texas,medium_utility,5.734212875,39,500,0.239,8756076.224,2092.050209,613200,478296000
