id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
0,6,5.634078503,large_community,5.0,0.235,10282.19327,13300000
1,6,5.61641264,small_utility,5.0,0.234,10249.95307,13300000
2,6,5.746738434,small_community,0.15,0.239,314.6339293,399000
3,6,5.742195606,small_utility,5.0,0.239,10479.50698,13300000
4,6,5.817186832,small_utility,5.0,0.242,10616.36597,13300000
5,6,5.701752186,large_community,5.0,0.238,10405.69774,13300000
6,6,5.720003605,medium_utility,500.0,0.238,1043900.658,1330000000
7,6,5.730308056,small_residential,0.005,0.239,10.4578122,13300
8,6,5.734212875,large_utility,2000.0,0.239,4185975.399,5320000000
9,6,5.755139828,small_community,0.15,0.24,315.0939056,399000
10,6,5.734212875,small_utility,5.0,0.239,10464.9385,13300000
11,6,5.755139828,large_residential,0.015,0.24,31.50939056,39900
12,6,5.6045928,small_utility,5.0,0.234,10228.38186,13300000
13,6,5.669364929,medium_community,2.0,0.236,4138.636398,5320000
14,6,5.669364929,medium_community,2.0,0.236,4138.636398,5320000
15,6,5.736873627,large_utility,2000.0,0.239,4187917.748,5320000000
16,6,5.734212875,medium_utility,500.0,0.239,1046493.85,1330000000
17,6,5.734212875,small_residential,0.005,0.239,10.4649385,13300
18,6,5.692050934,large_residential,0.015,0.237,31.16397886,39900
19,6,5.702950001,small_residential,0.005,0.238,10.40788375,13300
20,6,5.702950001,small_residential,0.005,0.238,10.40788375,13300
21,6,5.687242031,small_residential,0.005,0.237,10.37921671,13300
22,6,5.612900257,medium_utility,500.0,0.234,1024354.297,1330000000
23,6,5.612900257,medium_residential,0.01,0.234,20.48708594,26600
24,6,5.586105824,large_utility,2000.0,0.233,4077857.252,5320000000
25,6,5.756000996,small_community,0.15,0.24,315.1410545,399000
26,6,5.741298199,medium_residential,0.01,0.239,20.95573843,26600
27,6,5.760225773,small_community,0.15,0.24,315.3723611,399000
28,6,5.739746571,medium_utility,500.0,0.239,1047503.749,1330000000
29,6,5.692050934,small_residential,0.005,0.237,10.38799295,13300
30,6,5.702950001,large_utility,2000.0,0.238,4163153.501,5320000000
31,6,5.702950001,small_community,0.15,0.238,312.2365126,399000
32,6,5.687242031,small_utility,5.0,0.237,10379.21671,13300000
33,6,5.687242031,large_residential,0.015,0.237,31.13765012,39900
34,6,5.612900257,large_community,5.0,0.234,10243.54297,13300000
35,6,5.612900257,small_utility,5.0,0.234,10243.54297,13300000
36,6,5.756000996,medium_utility,500.0,0.24,1050470.182,1330000000
37,6,5.756000996,large_community,5.0,0.24,10504.70182,13300000
