id,lat,long,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
0,25.896492,-97.460358,5.634078503,large_community,5,0.235,10282.19327,13300000
1,26.032654,-97.738098,5.61641264,small_utility,5,0.234,10249.95307,13300000
2,26.059063,-97.208252,5.746738434,small_community,0.15,0.239,314.6339293,399000
3,26.078449,-98.073364,5.742195606,small_utility,5,0.239,10479.50698,13300000
4,26.143227,-98.31134,5.817186832,small_utility,5,0.242,10616.36597,13300000
5,26.14904,-98.075409,5.701752186,large_community,5,0.238,10405.69774,13300000
6,26.180355,-97.367737,5.720003605,medium_utility,500,0.238,1043900.658,1330000000
7,26.254963,-98.078491,5.730308056,small_residential,0.005,0.239,10.4578122,13300
8,26.27216,-98.098694,5.734212875,large_utility,2000,0.239,4185975.399,5320000000
9,26.272625,-98.078979,5.755139828,small_community,0.15,0.24,315.0939056,399000
10,26.289829,-98.099182,5.734212875,small_utility,5,0.239,10464.9385,13300000
11,26.290295,-98.079498,5.755139828,large_residential,0.015,0.24,31.50939056,39900
12,26.300041,-97.606567,5.6045928,small_utility,5,0.234,10228.38186,13300000
13,26.300404,-97.586884,5.669364929,medium_community,2,0.236,4138.636398,5320000
14,26.300758,-97.567169,5.669364929,medium_community,2,0.236,4138.636398,5320000
15,26.306557,-98.13913,5.736873627,large_utility,2000,0.239,4187917.748,5320000000
16,26.30703,-98.119415,5.734212875,medium_utility,500,0.239,1046493.85,1330000000
17,26.307491,-98.099731,5.734212875,small_residential,0.005,0.239,10.4649385,13300
18,26.316261,-97.685822,5.692050934,large_residential,0.015,0.237,31.16397886,39900
19,26.316639,-97.666107,5.702950001,small_residential,0.005,0.238,10.40788375,13300
20,26.317005,-97.646393,5.702950001,small_residential,0.005,0.238,10.40788375,13300
21,26.317719,-97.606995,5.687242031,small_residential,0.005,0.237,10.37921671,13300
22,26.318073,-97.58728,5.612900257,medium_utility,500,0.234,1024354.297,1330000000
23,26.31842,-97.567566,5.612900257,medium_residential,0.01,0.234,20.48708594,26600
24,26.318764,-97.547852,5.586105824,large_utility,2000,0.233,4077857.252,5320000000
25,26.320305,-98.297333,5.756000996,small_community,0.15,0.24,315.1410545,399000
26,26.324219,-98.139648,5.741298199,medium_residential,0.01,0.239,20.95573843,26600
27,26.324692,-98.119934,5.760225773,small_community,0.15,0.24,315.3723611,399000
28,26.328297,-97.96225,5.739746571,medium_utility,500,0.239,1047503.749,1330000000
29,26.333931,-97.686249,5.692050934,small_residential,0.005,0.237,10.38799295,13300
30,26.334301,-97.666504,5.702950001,large_utility,2000,0.238,4163153.501,5320000000
31,26.334675,-97.64679,5.702950001,small_community,0.15,0.238,312.2365126,399000
32,26.335033,-97.627075,5.687242031,small_utility,5,0.237,10379.21671,13300000
33,26.335381,-97.607361,5.687242031,large_residential,0.015,0.237,31.13765012,39900
34,26.335735,-97.587646,5.612900257,large_community,5,0.234,10243.54297,13300000
35,26.33609,-97.567932,5.612900257,small_utility,5,0.234,10243.54297,13300000
36,26.337463,-98.317627,5.756000996,medium_utility,500,0.24,1050470.182,1330000000
37,26.337975,-98.297913,5.756000996,large_community,5,0.24,10504.70182,13300000
38,26.338482,-98.278198,5.775848389,large_residential,0.015,0.241,31.62276993,39900
39,26.345535,-97.982452,5.739746571,small_community,0.15,0.239,314.2511248,399000
40,26.345959,-97.962738,5.739746571,small_utility,5,0.239,10475.03749,13300000
41,26.346397,-97.942993,5.700059891,large_utility,2000,0.238,4161043.72,5320000000
42,26.351608,-97.686646,5.725563526,medium_community,2,0.239,4179.661374,5320000
